title;Animal Quiz
question;answerA;answerB;answerC;answerD;correctAnswer
What is the largest animal on Earth?; African Elephant; Blue Whale; Giraffe; Great White Shark; B
Which animal is known as the "King of the Jungle"?; Tiger; Lion; Elephant; Gorilla; B
What is the fastest land animal?; Cheetah; Lion; Horse; Gazelle; A
Which bird is known for its ability to mimic human speech?; Eagle; Parrot; Owl; Sparrow; B
What is the largest land animal?; Elephant; Rhino; Hippopotamus; Giraffe; A
Which animal can sleep for up to 3 years?; Bear; Snake; Snail; Frog; C
What is the tallest animal in the world?; Elephant; Giraffe; Camel; Moose; B
Which marine animal is known for having eight arms?; Squid; Jellyfish; Octopus; Starfish; C
What is the only mammal capable of true flight?; Flying squirrel; Bat; Penguin; Ostrich; B
Which animal is known for changing its color to blend into its surroundings?; Lizard; Frog; Chameleon; Snake; C
What do you call a group of lions?; Herd; Pack; Pride; Flock; C
Which animal has the longest lifespan?; Elephant; Tortoise; Whale; Parrot; B
What is the largest species of shark?; Great White Shark; Hammerhead Shark; Whale Shark; Tiger Shark; C
Which bird cannot fly?; Eagle; Penguin; Hawk; Falcon; B
What is the main diet of pandas?; Meat; Fish; Bamboo; Fruits; C
