title;Biology Quiz
question;answerA;answerB;answerC;answerD;correctAnswer
Which cellular organelle is primarily responsible for ATP production via oxidative phosphorylation?; Nucleus; Mitochondrion; Ribosome; Golgi apparatus; B
What type of RNA carries amino acids to the ribosome during protein synthesis?; mRNA; rRNA; tRNA; snRNA; C
Which enzyme is responsible for unwinding DNA during replication?; DNA polymerase; Helicase; Ligase; Topoisomerase; B
What is the primary function of the smooth endoplasmic reticulum?; Protein synthesis; Lipid synthesis and detoxification; DNA replication; Cell division; B
Which phase of mitosis involves the alignment of chromosomes at the cell equator?; Prophase; Metaphase; Anaphase; Telophase; B
What is the term for programmed cell death?; Necrosis; Apoptosis; Autophagy; Senescence; B
Which molecule acts as the primary electron acceptor at the end of the electron transport chain?; Carbon dioxide; Oxygen; NADH; ATP; B
What is the genetic principle where one allele masks the expression of another?; Codominance; Incomplete dominance; Epistasis; Dominance; D
Which structure regulates the passage of substances into and out of the nucleus?; Nuclear envelope; Nuclear pore complex; Nucleolus; Chromatin; B
What is the main function of ribosomes?; Lipid metabolism; Protein synthesis; DNA storage; Energy production; B
Which biomolecule forms the structural basis of cell membranes?; Proteins; Carbohydrates; Phospholipids; Nucleic acids; C
What is the process by which cells engulf large particles or other cells?; Endocytosis; Exocytosis; Phagocytosis; Pinocytosis; C
Which type of bond stabilizes the double helix structure of DNA between base pairs?; Ionic bonds; Covalent bonds; Hydrogen bonds; Peptide bonds; C
What is the role of DNA polymerase in replication?; Unwinds DNA; Synthesizes new DNA strands; Joins Okazaki fragments; Removes RNA primers; B
Which metabolic pathway produces the most ATP under aerobic conditions?; Glycolysis; Krebs cycle; Electron transport chain; Fermentation; C
